year,position,team,points,games,victories,draws,losses,goals_scored,goals_against,goals_difference,perc_total_points,rank_tm,amount_trophy,victories_20g,goals_diff_20g
2021,11,Ceara,50,38,11,17,10,39,38,1,"43,86",0,0,0,0
2021,12,Internacional,48,38,12,12,14,44,42,2,"42,11",0,0,0,0
2021,13,Sao Paulo,48,38,11,15,12,31,39,-8,"42,11","4,038",0,0,0
2021,14,Athletico Paranaense,47,38,13,8,17,41,45,-4,"41,23","4,043",0,0,0
2021,15,Cuiaba,47,38,10,17,11,34,37,-3,"41,23",0,0,0,0
2021,16,Juventude,46,38,11,13,14,36,44,-8,"40,35",0,0,0,0
2021,17,Gremio,43,38,12,7,19,44,51,-7,"37,72","6,571",2,0,0
2021,18,Bahia,43,38,11,10,17,42,51,-9,"37,72",0,3,0,0
2021,19,Sport Recife,38,38,9,11,18,24,37,-13,"33,33",0,0,0,0
2021,20,Chapecoense,15,38,1,12,25,27,67,-40,"13,16",0,0,0,0
2022,1,Palmeiras,81,38,23,12,3,66,27,39,"71,05","9,095",11,24,13
2022,2,Internacional,73,38,20,13,5,58,31,27,"64,04","3,621",3,0,0
2022,3,Fluminense,70,38,21,7,10,63,41,22,"61,4","2,323",4,0,0
2022,4,Corinthians,65,38,18,11,9,44,36,8,"57,02","2,096",7,9,10
2022,5,Flamengo,62,38,18,8,12,60,39,21,"54,39","8,603",8,9,8
2022,6,Athletico Paranaense,58,38,16,10,12,48,48,0,"50,88","5,388",1,0,0
2022,7,Atletico Mineiro,58,38,15,13,10,45,37,8,"50,88","4,297",2,0,0
2022,8,Fortaleza,55,38,15,10,13,46,39,7,"48,25",0,0,0,0
2022,9,Sao Paulo,54,38,13,15,10,55,42,13,"47,37","4,741",6,15,12
2022,10,America Mineiro,53,38,15,8,15,40,40,0,"46,49","4,297",0,0,0
2022,11,Botafogo,53,38,15,8,15,41,43,-2,"46,49",0,2,0,0
2022,12,Santos,47,38,12,11,15,44,41,3,"41,23","4,433",8,-7,5
2022,13,Goias,46,38,11,13,14,40,53,-13,"40,35",0,0,0,0
2022,14,Red Bull Bragantino,44,38,11,11,16,49,59,-10,"38,6",0,0,0,0
2022,15,Coritiba,42,38,12,6,20,39,60,-21,"36,84",0,1,0,0
2022,16,Cuiaba,41,38,10,11,17,31,42,-11,"35,96",0,0,0,0
2022,17,Ceara,37,38,7,16,15,34,41,-7,"32,46",0,0,0,0
2022,18,Atletico Goianiense,36,38,8,12,18,39,57,-18,"31,58",0,0,0,0
2022,19,Avai,35,38,9,8,21,34,60,-26,"30,7",0,0,0,0
2022,20,Juventude,22,38,3,13,22,29,69,-40,"19,3",0,0,0,0
